Track,Engine,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,CheckPoint1,CheckPoint2,CheckPoint3,CheckPoint2_66
ComplexTrack,Gauss,26.68,75.04,4.67,12.37,10.67,18.87,22.73,0
OvalTrack,Bayes,22.71,69.63,4.26,13.55,9.39,15.06,20.66,0
OvalTrack,Bayes,24.27,69,4.35,16.05,9.85,16,22.24,1
ComplexTrack,Bayes,27.52,68.16,4.25,15.51,10.93,19.95,23.8,0
OvalTrack,Nightingale,24.82,67.73,5.4,14.57,12.85,16.3,22.62,1
OvalTrack,Gauss,29.59,76.6,4.66,11.38,9.54,14.77,25.54,1
OvalTrack,Bayes,23.95,70.04,4.26,13.77,9.87,15.85,21.92,0
OvalTrack,Nightingale,24.57,76.35,5.46,14.63,10.96,16.91,22.73,0
StraightTrack,Gauss,17.39,74.27,5.54,12.39,8.17,11.98,15.07,0
StraightTrack,Bayes,17.23,66.05,4.27,13.48,7.46,11.29,14.64,1
OvalTrack,Bayes,23.56,69.88,4.25,13.64,9.61,15.42,21.47,1
ComplexTrack,Gauss,27.55,75.62,3.77,9,10.88,20.59,24.32,0
OvalTrack,Gauss,23.9,76.98,4.67,15.23,10.39,16.55,22.04,0
StraightTrack,Gauss,18.26,74,6.01,13.76,8.46,12.66,15.86,0
OvalTrack,Gauss,21.7,78.2,4.66,11.37,9.65,14.85,19.79,0
ComplexTrack,Nightingale,27.29,73.22,5.42,15.68,11.6,20.41,23.99,0
ComplexTrack,Nightingale,30.06,66.86,5.44,16.75,11.91,21.43,25.77,0
StraightTrack,Nightingale,18.26,65.12,5.42,14.3,8.27,12.3,15.61,0
OvalTrack,Nightingale,30.31,69.05,6.46,15.63,11.88,18.03,27.26,1
StraightTrack,Nightingale,26.32,65.92,5.51,14.5,8.28,12.3,15.68,1
StraightTrack,Nightingale,18.09,69.39,5.41,14.3,8.28,12.26,15.6,0
StraightTrack,Nightingale,18.12,69.23,5.41,14.28,8.27,12.3,15.62,0
OvalTrack,Gauss,29.86,75.55,4.63,11.47,9.62,14.9,26.1,1
OvalTrack,Nightingale,24.61,71.09,5.52,14.66,10.47,16.28,22.51,0
OvalTrack,Gauss,22.93,76.71,4.63,11.34,9.93,15.03,20.66,1
StraightTrack,Bayes,17.35,66.22,4.39,13.5,7.59,11.45,14.76,1
OvalTrack,Gauss,26.8,76.57,4.63,19.37,9.99,18.6,24.88,0
StraightTrack,Nightingale,18.11,69.4,5.41,14.29,8.28,12.29,15.61,0
OvalTrack,Gauss,31.11,76.14,4.65,23.86,13.46,23.36,29.16,0
ComplexTrack,Nightingale,29.3,69.5,5.41,16.61,11.98,21.59,25.56,0
StraightTrack,Gauss,18.8,68.63,4.66,11.22,7.71,11.38,14.4,1
ComplexTrack,Gauss,26.25,77.09,4.68,12.59,10.6,19.12,22.87,0
StraightTrack,Nightingale,18.33,69.3,5.71,14.52,8.51,12.53,15.82,0
ComplexTrack,Bayes,27.47,66.81,4.26,15.83,10.52,19.95,23.8,0
OvalTrack,Nightingale,24.59,77.33,5.48,14.58,11.01,17.02,22.68,0
StraightTrack,Nightingale,18.12,69.42,5.42,14.3,8.28,12.29,15.62,0
StraightTrack,Bayes,17.3,65.72,4.28,13.43,7.48,11.34,14.66,1
ComplexTrack,Nightingale,27.64,75,5.54,16.18,11.67,20.58,24.19,0
ComplexTrack,Gauss,30.8,72.06,4.68,21.53,10.85,23.06,27.43,0
OvalTrack,Nightingale,27.35,65.56,6.25,17.63,11.18,17.66,24.71,1
StraightTrack,Bayes,17.93,66.31,4.97,14.07,8.15,12.04,15.35,0
OvalTrack,Bayes,23.63,70.1,4.27,13.69,9.79,15.79,21.61,0
ComplexTrack,Gauss,28.44,74.53,4.74,12.77,10.77,19.28,23.7,0
OvalTrack,Gauss,30.53,71.56,18.99,28.28,14.34,15.92,28.38,1
ComplexTrack,Gauss,27.48,74,3.86,14.2,9.61,16.48,19.44,1
OvalTrack,Gauss,25.57,71.89,3.77,8.72,7.42,11.95,15.75,1
OvalTrack,Gauss,25.53,77.54,4.76,11.55,10.2,15.55,23,1
StraightTrack,Nightingale,18.1,69.37,5.46,14.36,8.26,12.23,15.6,0
OvalTrack,Gauss,23.25,76.4,4.99,11.83,10.21,15.38,21.03,0
StraightTrack,Bayes,17.54,65.26,4.57,13.71,7.76,11.66,14.96,0
StraightTrack,Gauss,24.45,73.89,14.22,20.82,13.76,18.65,22.03,0
ComplexTrack,Bayes,27.1,68.18,4.26,15.13,10.48,19.63,23.45,0
StraightTrack,Gauss,17.23,75.09,4.94,12.18,8.04,11.85,14.9,0
StraightTrack,Bayes,17.46,64.82,4.46,13.69,7.64,11.53,14.86,0
StraightTrack,Nightingale,18.12,69.23,5.42,14.3,8.28,12.29,15.61,0
ComplexTrack,Bayes,27.74,68.39,4.25,15.06,11.14,20.09,24.16,0
StraightTrack,Gauss,24.3,77.58,5.09,17.34,15.62,18.9,21.7,0
ComplexTrack,Bayes,26.39,67.68,4.24,15.04,10.52,19.25,22.89,0
OvalTrack,Gauss,25.43,75.18,3.79,8.9,8.57,14.36,23.14,1
StraightTrack,Nightingale,26.85,70.03,12.8,21.93,8.27,12.32,15.61,1
ComplexTrack,Gauss,27.08,76.04,5.31,9.78,12.31,16.93,20.85,1
StraightTrack,Gauss,17.26,78.32,5.32,11.87,8.38,12.04,15.02,0
StraightTrack,Bayes,20.02,65.76,7.58,16.71,9.96,13.91,17.4,0
ComplexTrack,Gauss,27.16,73.11,4.73,13.75,10.56,19.12,22.91,0
OvalTrack,Nightingale,24.21,76.32,5.47,14.6,10.54,16.64,22.34,0
ComplexTrack,Bayes,27.96,68.23,4.26,15.41,11.35,20.46,24.41,0
ComplexTrack,Nightingale,26.6,73.92,5.42,15.75,11.37,20.01,23.46,0
StraightTrack,Nightingale,18.1,69.4,5.41,14.28,8.27,12.26,15.62,0
ComplexTrack,Bayes,27.84,67.11,4.27,15.64,10.71,20.17,24.08,0
ComplexTrack,Nightingale,28.82,74.15,5.41,16.04,12.16,21.46,25.35,0
ComplexTrack,Gauss,25.82,77.36,4.67,14.08,10.76,19.1,22.37,0
OvalTrack,Gauss,27.33,74.67,4.66,11.4,9.7,15.05,24.63,1
StraightTrack,Bayes,17.27,66.16,4.26,13.6,7.46,11.36,14.69,1
StraightTrack,Gauss,21.11,72.64,11.39,17.95,9.52,15.16,18.66,0
ComplexTrack,Nightingale,29.6,67.85,5.43,16.34,11.79,21.52,25.68,0
ComplexTrack,Gauss,28.64,69.65,4.66,18.73,10.73,20.4,24.03,0
StraightTrack,Bayes,17.23,66.27,4.28,13.39,7.47,11.36,14.64,1
OvalTrack,Bayes,23.28,69.91,4.24,13.63,9.61,15.43,21.23,0
StraightTrack,Bayes,17.97,66.24,5.06,14.18,8.18,12.03,15.4,0
StraightTrack,Gauss,19.92,78.42,7.96,14.53,11.03,14.71,17.69,0
ComplexTrack,Bayes,27.01,67.64,4.28,15.3,10.58,19.63,23.46,0
OvalTrack,Gauss,28.33,73.75,9.59,16.34,13.67,19.12,25.3,0
StraightTrack,Nightingale,18.93,69.3,6.41,15.16,9.01,13.07,16.39,0
OvalTrack,Nightingale,23.69,75.84,5.45,14.55,10.5,16.32,21.81,0
StraightTrack,Bayes,18.23,65.8,5.48,14.6,8.36,12.3,15.63,0
ComplexTrack,Gauss,28,70.96,4.64,17.91,10.78,20.37,24.21,0
OvalTrack,Bayes,22.95,68.37,4.25,13.59,14.43,15.69,20.85,0
StraightTrack,Bayes,19.64,66.3,6.69,15.81,9.89,13.76,17.08,0
ComplexTrack,Bayes,27.49,66.85,4.28,15.29,10.51,19.82,23.75,0
StraightTrack,Bayes,17.6,65.21,4.28,13.42,7.48,11.32,14.65,1
StraightTrack,Nightingale,18.11,69.2,5.41,14.28,8.26,12.28,15.61,0
ComplexTrack,Bayes,29.29,68.25,4.25,18.51,9.59,16.86,19.67,1
StraightTrack,Nightingale,18.57,68.07,5.44,15.51,8.27,12.52,16,0
StraightTrack,Gauss,17.33,72.59,4.68,13.01,7.73,11.73,14.94,0
ComplexTrack,Nightingale,28.79,69.65,5.4,16.57,10.72,20.67,24.31,0
OvalTrack,Nightingale,24.91,77.24,5.41,14.55,11.1,17.12,23.07,0
ComplexTrack,Nightingale,31.18,70.21,5.46,16.17,12.31,21.76,26.54,0
ComplexTrack,Bayes,27.89,66.19,4.25,15.63,10.73,20.21,24.03,0
StraightTrack,Gauss,17.99,76.94,6.59,13.15,8.73,12.64,15.73,0
StraightTrack,Nightingale,18.11,69.03,5.4,14.28,8.28,12.29,15.61,0
OvalTrack,Gauss,28.65,71.02,3.91,10.75,8.27,12.26,15.61,1
StraightTrack,Gauss,18.71,72.85,3.75,16.09,6.97,10.72,13.92,1
StraightTrack,Nightingale,18.09,69.4,5.42,14.33,8.27,12.29,15.6,0
ComplexTrack,Nightingale,27.27,76.58,5.46,15.73,11.77,20.53,24.24,0
ComplexTrack,Nightingale,27.92,70.65,5.51,16.66,11.58,20.81,24.52,0
OvalTrack,Gauss,24.01,78.06,4.66,11.44,9.58,14.96,20.76,1
StraightTrack,Bayes,17.26,65.32,4.27,13.39,7.49,11.34,14.66,1
OvalTrack,Bayes,23.68,70.08,4.27,13.61,9.84,15.65,21.66,0
ComplexTrack,Gauss,26.33,73.97,4.67,12.31,10.88,19.43,22.99,0
ComplexTrack,Nightingale,27.9,75.68,5.46,15.87,11.64,20.98,24.53,0
ComplexTrack,Nightingale,29.67,67.55,5.46,19.12,11.56,21.1,25.9,0
StraightTrack,Gauss,17.46,68.6,4.66,13.49,7.73,11.58,14.94,0
ComplexTrack,Gauss,29.83,68.73,4.74,16.33,11.03,19.94,24.51,0
ComplexTrack,Nightingale,27.28,72.61,5.43,15.61,11.5,20.4,23.82,0
StraightTrack,Nightingale,18.24,66.5,5.41,14.42,8.25,12.32,15.65,0
ComplexTrack,Nightingale,29.29,67.75,5.46,16.34,7.46,11.31,14.65,1
OvalTrack,Nightingale,24.77,69.25,5.52,17.88,10.32,16.53,22.66,0
StraightTrack,Bayes,17.29,66.16,4.33,13.44,7.53,11.41,14.71,1
ComplexTrack,Gauss,28.23,73.09,3.78,9,7.02,10.85,13.71,1
StraightTrack,Nightingale,18.11,69.4,5.45,14.29,8.25,12.29,15.61,0
OvalTrack,Nightingale,24.2,76.03,5.44,14.55,10.55,16.48,22.31,0
ComplexTrack,Nightingale,28.84,65.75,5.45,15.89,11.38,20.58,24.99,0
ComplexTrack,Gauss,27.14,75.25,4.79,12.54,10.7,19.23,23.5,0
ComplexTrack,Bayes,28.1,66.05,4.3,15.54,10.75,20.08,24.48,0
OvalTrack,Nightingale,25.94,69.85,5.43,17.6,10.51,17.02,23.04,1
ComplexTrack,Bayes,27.81,66.68,4.26,15.79,10.73,20.18,24.08,0
OvalTrack,Gauss,27.17,78.16,3.8,8.76,7.45,11.33,14.63,1
OvalTrack,Gauss,26.05,75.74,4.68,11.34,9.68,15.09,23.4,1
OvalTrack,Nightingale,26.84,71.07,5.71,14.85,10.94,17.01,23.84,1
StraightTrack,Nightingale,18.13,69.24,5.41,14.31,8.28,12.3,15.61,0
StraightTrack,Gauss,18.12,71.07,5.66,12.92,8.69,12.55,15.62,0
OvalTrack,Bayes,27.43,67.28,5.44,14.86,11.1,17.27,24.8,1
OvalTrack,Gauss,27.48,75.47,6.38,19.44,12.88,19.97,25.46,0
StraightTrack,Nightingale,18.11,69.23,5.4,14.28,8.26,12.29,15.6,0
OvalTrack,Bayes,23.07,69.41,4.25,13.64,9.47,15.21,21.03,1
ComplexTrack,Nightingale,27.85,71.75,5.47,15.93,11.7,20.52,24.07,0
OvalTrack,Bayes,23.71,69.95,4.25,13.7,9.83,15.74,21.69,0
StraightTrack,Bayes,17.41,66.31,4.45,13.58,7.65,11.54,14.83,0
ComplexTrack,Bayes,31.22,65.11,4.28,16.33,11.3,22.78,27.08,0
OvalTrack,Nightingale,23.81,75.93,5.38,14.53,10.61,16.42,21.93,0
ComplexTrack,Nightingale,29.71,66.31,5.51,21.51,11.56,21.66,25.66,0
StraightTrack,Nightingale,18.11,69.13,5.44,14.31,8.27,12.27,15.59,0
StraightTrack,Bayes,17.4,65.36,4.35,13.51,7.63,11.51,14.81,0
OvalTrack,Gauss,25.23,71.2,4.63,11.41,9.83,15.08,22.78,1
ComplexTrack,Bayes,26.88,68.71,4.26,15.19,10.54,19.5,23.33,0
StraightTrack,Bayes,17.39,65.44,4.25,14.15,7.46,11.38,14.76,1
ComplexTrack,Gauss,29.41,77.95,4.65,12,10.93,19.7,23.18,0
StraightTrack,Gauss,18.15,78.01,6.21,12.78,9.28,12.94,15.93,0
ComplexTrack,Nightingale,26.85,74.92,5.47,15.75,11.35,20.13,23.59,0
ComplexTrack,Nightingale,27.96,75.36,5.49,16.33,11.62,20.83,24.56,0
ComplexTrack,Gauss,29.46,67.76,4.66,13.43,10.81,20.38,25.59,0
OvalTrack,Nightingale,28.14,67.01,5.46,14.68,10.4,16.23,25.23,1
OvalTrack,Gauss,24.11,78.01,4.62,11.39,10,15.42,21.69,1
OvalTrack,Gauss,25.36,76.48,4.64,11.41,9.76,15.01,22.71,1
StraightTrack,Bayes,23.26,66.31,10.31,19.43,13.49,17.38,20.68,0
ComplexTrack,Bayes,28.61,66.68,4.24,15.58,10.75,20.06,23.79,0
StraightTrack,Gauss,17.38,73.97,4.69,11.96,7.81,11.68,14.78,0
OvalTrack,Bayes,23.36,69.61,4.27,13.6,14.51,15.58,21.94,0
StraightTrack,Gauss,17.36,76.99,5.36,12.58,8.18,11.98,15.08,0
ComplexTrack,Bayes,27.35,65.9,4.26,15.35,10.56,19.77,23.7,0
StraightTrack,Nightingale,18.11,69.06,5.41,14.3,8.28,12.3,15.61,0
ComplexTrack,Gauss,28.83,74.39,4.66,11.92,11.17,19.83,23.44,0
StraightTrack,Nightingale,18.12,69.4,5.4,14.3,8.28,12.27,15.6,0
OvalTrack,Bayes,23.23,69.8,4.24,13.61,9.61,15.5,21.19,0
ComplexTrack,Nightingale,28.27,71.87,5.47,16.05,11.79,21.11,24.76,0
ComplexTrack,Gauss,29.28,73.64,4.66,11.96,10.99,20.41,25.6,0
StraightTrack,Bayes,17.29,66.15,4.31,13.51,7.45,11.38,14.7,1
ComplexTrack,Gauss,26.69,74.79,4.67,12.22,10.59,19.47,23.2,0
OvalTrack,Bayes,24.47,70.44,4.25,13.66,10.21,16.15,22.49,1
OvalTrack,Bayes,23.82,69.96,4.26,13.62,9.74,15.79,21.8,0
StraightTrack,Gauss,17.22,76.57,5.33,11.89,8.38,12.02,15.02,0
ComplexTrack,Bayes,26.69,68.43,4.26,15.29,10.69,19.64,23.29,0
StraightTrack,Nightingale,18.13,68.29,5.43,14.3,8.25,12.29,15.62,0
ComplexTrack,Gauss,28.9,70.47,4.64,12.17,10.69,19.6,24.35,0
ComplexTrack,Nightingale,27.74,72.9,5.41,15.85,11.73,20.63,24.34,0
StraightTrack,Gauss,17.26,71.85,4.64,11.27,7.72,11.39,14.38,1
OvalTrack,Nightingale,24.13,76.13,5.43,14.57,10.61,16.61,22.25,0
ComplexTrack,Bayes,27.74,66.75,4.28,16.29,9.12,13.89,19.09,1
OvalTrack,Bayes,24.63,67.82,4.25,13.61,9.69,15.81,22.4,1
OvalTrack,Gauss,27.1,66.41,4.62,11.44,9.8,15.6,24.67,1
ComplexTrack,Gauss,25.22,78.22,4.67,12.04,10.62,18.84,22.14,0
StraightTrack,Nightingale,18.81,66.98,5.48,15.77,8.41,12.75,16.22,0
ComplexTrack,Nightingale,29.07,70.59,5.43,16.97,11.72,21.02,24.88,0
StraightTrack,Nightingale,18.12,69.27,5.45,14.33,8.29,12.27,15.57,0
ComplexTrack,Nightingale,30.83,67.4,5.42,18.96,11.76,21.82,26.27,0
OvalTrack,Bayes,23.89,68.32,4.28,13.67,9.73,15.64,21.71,1
ComplexTrack,Nightingale,29.27,66.5,5.45,20.92,11.55,21.29,25.15,0
StraightTrack,Bayes,17.44,66.21,4.48,13.59,7.68,11.56,14.86,0
StraightTrack,Bayes,17.23,65.23,4.26,13.4,7.44,11.31,14.65,1
OvalTrack,Gauss,26,69.05,4.69,17.16,9.84,16.66,23.85,1
StraightTrack,Bayes,17.28,66.16,4.36,13.48,7.5,11.38,14.7,1
ComplexTrack,Bayes,28.79,65.04,5.37,18.35,11.39,20.82,24.95,0
OvalTrack,Nightingale,23.81,75.84,5.43,14.56,10.56,16.41,21.91,0
StraightTrack,Nightingale,18.12,69.2,5.42,14.3,8.28,12.29,15.63,0
ComplexTrack,Bayes,31.22,65.02,4.28,25.36,10.84,22.76,27.2,0
OvalTrack,Nightingale,23.75,76.11,5.39,14.48,10.53,16.31,21.89,0
StraightTrack,Nightingale,18.11,69.2,5.41,14.29,8.26,12.3,15.6,0
OvalTrack,Nightingale,24.02,75.98,5.43,14.5,10.59,16.55,22.15,0
OvalTrack,Gauss,23.44,76.72,4.69,11.46,9.99,15.28,21.45,1
StraightTrack,Gauss,17.32,78.29,5.41,11.98,8.44,12.11,15.1,0
ComplexTrack,Bayes,27.37,67.5,4.27,15.72,10.6,20.01,23.78,0
ComplexTrack,Gauss,30.6,76.46,4.74,12.26,10.79,19.29,22.79,1
OvalTrack,Gauss,23.83,76.58,4.67,11.42,9.81,15.12,21.67,1
ComplexTrack,Bayes,28.18,65.11,4.28,15.34,10.54,20.19,24.24,0
OvalTrack,Gauss,25.69,68.61,4.69,11.45,9.72,15.11,22.97,1
OvalTrack,Bayes,26.17,65.46,4.25,13.82,9.81,15.99,23.5,1
StraightTrack,Bayes,17.4,65.2,4.27,13.41,7.45,11.3,14.62,1
ComplexTrack,Bayes,26.78,67.25,4.29,16.1,10.45,19.53,23.25,0
ComplexTrack,Nightingale,28.17,70.88,5.42,15.84,11.42,20.48,24.66,0
OvalTrack,Nightingale,30.28,66.12,7.33,16.36,11.45,17.47,27.35,1
StraightTrack,Nightingale,18.19,66.05,5.41,14.3,8.27,12.3,15.61,0
ComplexTrack,Nightingale,28.8,68.05,5.49,17.4,12.11,21.26,24.93,0
ComplexTrack,Gauss,27.22,73.56,4.56,9.91,10.35,17.63,22.41,1
ComplexTrack,Gauss,28.22,73.11,4.69,11.97,10.93,20.29,24.61,0
ComplexTrack,Bayes,27.97,66.39,4.26,16.02,10.92,20.19,24.29,0
OvalTrack,Bayes,23.68,69.84,4.4,13.91,9.7,15.65,21.65,0
ComplexTrack,Gauss,26.87,78.34,4.65,11.74,10.87,19.67,23.09,0
StraightTrack,Nightingale,17.99,69.1,5.66,14.33,8,11.99,15.33,0
OvalTrack,Gauss,23.24,74.23,4.65,11.36,10.01,15.41,21.31,0
OvalTrack,Bayes,24.16,67.83,4.26,13.58,9.98,16.03,21.93,0
ComplexTrack,Gauss,29.94,74.68,4.75,12.02,10.95,20.22,25.2,0
OvalTrack,Nightingale,23.46,75.74,5.39,14.45,10.48,16.16,21.58,0
OvalTrack,Bayes,26.89,67.36,4.28,19.79,11.17,18.41,24.66,0
StraightTrack,Gauss,17.79,70.93,4.67,11.25,7.72,11.39,14.36,1
ComplexTrack,Nightingale,29.07,70.4,5.47,15.89,11.91,21.27,25.34,0
StraightTrack,Gauss,20.04,71.21,4.66,12.12,7.72,11.52,14.63,1
OvalTrack,Bayes,23.7,70.22,4.26,13.56,9.94,15.81,21.68,0
ComplexTrack,Bayes,27.52,65.59,4.26,15.46,10.18,19.54,23.52,0
OvalTrack,Nightingale,23.67,75.54,5.43,14.56,10.48,16.3,21.78,0
StraightTrack,Gauss,17.29,76.81,3.75,12.89,7.23,11.95,15.05,0
ComplexTrack,Nightingale,29.91,70.91,6.01,16.57,12.38,22.1,26.34,0
ComplexTrack,Nightingale,28.96,73.58,5.45,16.48,12.27,21.56,25.24,0
ComplexTrack,Bayes,26.7,67.12,4.31,15.31,10.62,19.46,23.11,0
StraightTrack,Nightingale,18.11,69.16,5.41,14.28,8.26,12.29,15.61,0
ComplexTrack,Gauss,30.01,76.13,4.68,12.44,11.31,23.04,26.69,0
StraightTrack,Bayes,17.46,65.18,4.42,14.24,7.55,11.46,14.84,1
StraightTrack,Bayes,18.58,66.18,5.65,14.81,8.81,12.64,16.01,0
StraightTrack,Nightingale,18.12,69.34,5.41,14.3,8.27,12.3,15.62,0
OvalTrack,Nightingale,23.94,74.79,5.43,14.65,16.51,17.75,22.04,0
OvalTrack,Bayes,26.05,65.42,4.33,13.76,9.68,15.67,23.43,1
OvalTrack,Bayes,24.04,68.81,4.27,13.65,17.65,18.96,22.26,0
ComplexTrack,Nightingale,28.16,73.55,5.48,16.32,7.46,11.31,14.65,1
OvalTrack,Gauss,24.72,78.17,3.74,8.79,8.31,12.32,15.63,1
ComplexTrack,Gauss,26.6,74.09,3.79,8.98,9.22,13.77,19.04,1
OvalTrack,Nightingale,24.62,67.62,5.51,14.51,8.27,12.29,15.57,1
OvalTrack,Bayes,27.32,65.85,4.27,13.85,9.73,15.76,24.46,1
ComplexTrack,Bayes,28.24,66.05,4.24,16.71,10.82,20.24,24.52,0
OvalTrack,Bayes,23.11,69.65,4.26,13.61,9.54,15.31,21.08,0
StraightTrack,Gauss,21.93,66.26,3.76,8.78,15.59,17.07,19.16,0
StraightTrack,Bayes,18.79,65.83,5.75,15.25,8.95,12.85,16.21,0
StraightTrack,Nightingale,18.15,69.21,5.43,14.33,8.25,12.3,15.63,0
OvalTrack,Bayes,23.48,69.87,4.26,13.61,9.88,15.66,21.46,0
OvalTrack,Gauss,23.76,78.44,4.73,11.44,9.71,15.12,21.39,1
OvalTrack,Gauss,22.04,78.1,4.63,11.38,9.85,15.11,20.16,0
StraightTrack,Bayes,18.31,66.11,5.36,14.51,8.55,12.43,15.73,0
OvalTrack,Nightingale,24.33,70.51,5.43,14.83,10.4,16.37,22.05,0
OvalTrack,Gauss,21.7,78.22,4.68,11.38,9.61,14.78,19.83,0
OvalTrack,Bayes,23.44,68.85,4.26,13.94,9.59,15.52,21.35,0
OvalTrack,Bayes,22.9,69.65,4.26,13.6,9.5,15.16,20.86,0
ComplexTrack,Nightingale,31.24,65.44,5.47,17.09,7.07,10.35,13.02,1
ComplexTrack,Bayes,27.82,68.07,4.26,15.12,9.59,16.86,19.67,1
StraightTrack,Bayes,17.22,66.31,4.24,13.38,7.44,11.33,14.63,1
OvalTrack,Gauss,25.36,73,4.67,11.42,9.92,15.11,22.29,1
StraightTrack,Nightingale,18.12,69.4,5.42,14.29,8.28,12.3,15.62,0
StraightTrack,Nightingale,18.15,69.35,5.46,14.34,8.31,12.34,15.64,0
StraightTrack,Nightingale,18.45,66.33,5.64,14.76,8.37,12.5,15.86,0
StraightTrack,Nightingale,20.11,66.51,7.78,16.9,9.75,14.06,17.48,0
ComplexTrack,Nightingale,29.58,70.2,5.5,16.42,9.78,15.78,22.11,1
OvalTrack,Bayes,22.76,69.55,4.25,13.55,9.42,15.06,20.73,0
OvalTrack,Bayes,24.07,69.98,4.28,13.78,9.71,15.81,22.05,1
ComplexTrack,Gauss,29.15,76.76,7.85,15.35,13.09,21.6,25.6,0
StraightTrack,Bayes,17.23,66.16,4.28,13.4,7.48,11.34,14.66,1
